Folder/Label,File Name,Predicted Phonemes
O long,O long 4.wav,['ɑ']
O long,O long 1.wav,['ɑ']
O long,O long 3.wav,['ɑ']
O long,O long 2.wav,['ɑ']
J,J 3.wav,['tʃ ɑ']
J,J 1.wav,['dʒ e']
J,J 2.wav,['dʒ']
J,J 4.wav,['dʒ ɑ']
U long,U long 3.wav,['u']
U long,U long 2.wav,['uː']
U long,U long 1.wav,['i']
U long,U long 4.wav,['']
C,C 3.wav,['k']
C,C 2.wav,['k a']
C,C 4.wav,['k a']
C,C 1.wav,['']
B,B 2.wav,['b']
B,B 3.wav,['b ɑ']
B,B 4.wav,['b']
B,B 1.wav,['b ɛ']
I long,I long 1.wav,['aː']
I long,I long 3.wav,['aː']
I long,I long 4.wav,['ɑ']
I long,I long 2.wav,['ɑ']
V,V 2.wav,['ʔ a m']
V,V 4.wav,['v y v a']
V,V 1.wav,['o z y i d i d']
V,V 3.wav,['l a']
Z,Z 1.wav,['l ɛ y z']
Z,Z 2.wav,['l']
Z,Z 4.wav,['i']
Z,Z 3.wav,['h']
A long,A long 1.wav,['ɛ']
A long,A long 2.wav,['eː']
A long,A long 3.wav,['eː']
A long,A long 4.wav,['eː']
U short,U short 3.wav,['ɑ']
U short,U short 1.wav,['ɑ']
U short,U short 4.wav,['ɑ']
U short,U short 2.wav,['ɑ']
H,H 4.wav,['p a']
H,H 3.wav,['v a']
H,H 2.wav,['ħ a']
H,H 1.wav,['p a']
N,N 4.wav,['']
N,N 3.wav,['n a']
N,N 1.wav,['i t']
N,N 2.wav,['i']
E long,E long 2.wav,['i']
E long,E long 1.wav,['i']
E long,E long 4.wav,['i']
E long,E long 3.wav,['i']
K,K 3.wav,['k a']
K,K 1.wav,['k']
K,K 4.wav,['k a t']
K,K 2.wav,['k']
D,D 3.wav,['d ɑ']
D,D 2.wav,['t əɜ']
D,D 4.wav,['d ə']
D,D 1.wav,['d ə']
G,G 3.wav,['ɡ ʌ']
G,G 2.wav,['k ʌ']
G,G 4.wav,['ɡ ʌ']
G,G 1.wav,['i ɡ ʌ']
W,W 1.wav,['v u']
W,W 2.wav,['u']
W,W 4.wav,['v u']
W,W 3.wav,['u n']
T,T 2.wav,['t ɛ']
T,T 3.wav,['t']
T,T 4.wav,['t a5']
T,T 1.wav,['t']
I short,I short 3.wav,['e']
I short,I short 1.wav,['eː']
I short,I short 2.wav,['i']
I short,I short 4.wav,['eː']
M,M 1.wav,['']
M,M 2.wav,['i']
M,M 4.wav,['']
M,M 3.wav,['b ʉ']
A short,A short 3.wav,['aː']
A short,A short 4.wav,['aː']
A short,A short 2.wav,['aː']
A short,A short 1.wav,['aː']
R,R 1.wav,['h y']
R,R 3.wav,['r ʉ']
R,R 2.wav,['']
R,R 4.wav,['']
E short,E short 1.wav,['ɛ']
E short,E short 2.wav,['eː']
E short,E short 4.wav,['ɛ']
E short,E short 3.wav,['eː']
O short,O short 4.wav,['ɑ']
O short,O short 2.wav,['ɑ']
O short,O short 1.wav,['ɑ']
O short,O short 3.wav,['ɑ']
X,X 3.wav,['k s']
X,X 1.wav,['k a s']
X,X 4.wav,['k s']
X,X 2.wav,['k']
F,F 2.wav,['']
F,F 4.wav,['f i']
F,F 1.wav,['s']
F,F 3.wav,['']
L,L 2.wav,['o']
L,L 4.wav,['ɑ']
L,L 3.wav,['']
L,L 1.wav,['o']
Q,Q 1.wav,['kh u5']
Q,Q 2.wav,['k uː']
Q,Q 3.wav,['k uː']
Q,Q 4.wav,['k ʉ']
Y,Y 1.wav,['j i i i']
Y,Y 4.wav,['j i']
Y,Y 2.wav,['i']
Y,Y 3.wav,['j i']
S,S 2.wav,['ʃ s a']
S,S 3.wav,['s']
S,S 4.wav,['s']
S,S 1.wav,['s']
P,P 1.wav,['p ɛ']
P,P 3.wav,['p']
P,P 4.wav,['p a']
P,P 2.wav,['p a']
