Folder/Label,File Name,Predicted Phonemes
B,B 1.wav,[]
B,B 4.wav,[]
B,B 2.wav,[]
B,B 3.wav,[]
Q,Q 1.wav,[]
Q,Q 2.wav,[]
Q,Q 4.wav,[]
Q,Q 3.wav,[]
E long,E long 4.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cd6b564b30>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cd6b571370>]"
E long,E long 2.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2330>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2090>]"
E long,E long 1.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca24b0>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2510>]"
E long,E long 3.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca1fd0>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2570>]"
O long,O long 2.wav,[]
O long,O long 1.wav,[]
O long,O long 3.wav,[]
O long,O long 4.wav,[]
K,K 3.wav,[]
K,K 2.wav,[]
K,K 4.wav,[]
K,K 1.wav,[]
U long,U long 3.wav,[]
U long,U long 2.wav,[]
U long,U long 4.wav,[]
U long,U long 1.wav,[]
U short,U short 3.wav,[]
U short,U short 4.wav,[]
U short,U short 1.wav,[]
U short,U short 2.wav,[]
V,V 1.wav,[]
V,V 2.wav,[]
V,V 3.wav,[]
V,V 4.wav,[]
I short,I short 1.wav,[]
I short,I short 2.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2810>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2ab0>]"
I short,I short 3.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2e10>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2e70>]"
I short,I short 4.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2930>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2f90>]"
D,D 4.wav,[]
D,D 1.wav,[]
D,D 2.wav,[]
D,D 3.wav,[]
H,H 4.wav,[]
H,H 1.wav,[]
H,H 3.wav,[]
H,H 2.wav,[]
O short,O short 1.wav,[]
O short,O short 4.wav,[]
O short,O short 2.wav,[]
O short,O short 3.wav,[]
S,S 1.wav,[]
S,S 4.wav,[]
S,S 2.wav,[]
S,S 3.wav,[]
T,T 2.wav,[]
T,T 4.wav,[]
T,T 3.wav,[]
T,T 1.wav,[]
I long,I long 1.wav,[]
I long,I long 3.wav,[]
I long,I long 2.wav,[]
I long,I long 4.wav,[]
J,J 2.wav,[]
J,J 1.wav,[]
J,J 4.wav,[]
J,J 3.wav,[]
E short,E short 3.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca3050>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2cf0>]"
E short,E short 4.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca34d0>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca2f30>]"
E short,E short 1.wav,"[<azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca3470>, <azure.cognitiveservices.speech.speech.PronunciationAssessmentNBestPhoneme object at 0x78cda5ca35f0>]"
E short,E short 2.wav,[]
C,C 4.wav,[]
C,C 2.wav,[]
C,C 3.wav,[]
C,C 1.wav,[]
G,G 2.wav,[]
G,G 1.wav,[]
G,G 4.wav,[]
G,G 3.wav,[]
Y,Y 3.wav,[]
