Folder/Label,File Name,Predicted Phonemes
O long,O long 4.wav,['h# pau q ow h#']
O long,O long 1.wav,['h# ow h#']
O long,O long 3.wav,['h# ow h#']
O long,O long 2.wav,['h# q ow h#']
J,J 3.wav,['h# hh dcl jh ah h#']
J,J 1.wav,['h# jh ih pcl h#']
J,J 2.wav,['h# jh ah h#']
J,J 4.wav,['h# jh ah h#']
U long,U long 3.wav,['h# q ow h#']
U long,U long 2.wav,['h# q uw h#']
U long,U long 1.wav,['h# iy h#']
U long,U long 4.wav,['h# uw h#']
C,C 3.wav,['h# d ah tcl h#']
C,C 2.wav,['h# k ax h#']
C,C 4.wav,['h# g uh dcl h#']
C,C 1.wav,['h# d ih h#']
B,B 2.wav,['h# b ah tcl h#']
B,B 3.wav,['h# b ah tcl h#']
B,B 4.wav,['h# b ow th h#']
B,B 1.wav,['h# b ah h#']
I long,I long 1.wav,['h# q ay h#']
I long,I long 3.wav,['h# q ay h#']
I long,I long 4.wav,['h# q ay h#']
I long,I long 2.wav,['h# q ay h#']
V,V 2.wav,['h# ow h#']
V,V 4.wav,['h# v ah h#']
V,V 1.wav,['h# ax v ax h#']
V,V 3.wav,['h# ow h#']
Z,Z 1.wav,['h# ix z ax pcl h#']
Z,Z 2.wav,['h# uw h#']
Z,Z 4.wav,['h# pcl h#']
Z,Z 3.wav,['h# uw h#']
A long,A long 1.wav,['h# q ey h#']
A long,A long 2.wav,['h# q ey h#']
A long,A long 3.wav,['h# q ey h#']
A long,A long 4.wav,['h# q ey h#']
U short,U short 3.wav,['h# q ow h#']
U short,U short 1.wav,['h# q aa h#']
U short,U short 4.wav,['h# q ow h#']
U short,U short 2.wav,['h# q ow h#']
H,H 4.wav,['h# pau b aa pcl h#']
H,H 3.wav,['h# pau q aa pcl h#']
H,H 2.wav,['h# hh ah h#']
H,H 1.wav,['h# ah h#']
N,N 4.wav,['h# uw n h#']
N,N 3.wav,['h# ax h#']
N,N 1.wav,['h# ih h#']
N,N 2.wav,['h# uw h#']
E long,E long 2.wav,['h# q iy h#']
E long,E long 1.wav,['h# q iy h#']
E long,E long 4.wav,['h# q iy h#']
E long,E long 3.wav,['h# q iy h#']
K,K 3.wav,['h# g ah dcl h#']
K,K 1.wav,['h# k uw h#']
K,K 4.wav,['h# k ah tcl h#']
K,K 2.wav,['h# k uh h#']
D,D 3.wav,['h# d ah h#']
D,D 2.wav,['h# d ah tcl h#']
D,D 4.wav,['h# d ah h#']
D,D 1.wav,['h# d ih pcl h#']
G,G 3.wav,['h# g ah h#']
G,G 2.wav,['h# g uh h#']
G,G 4.wav,['h# g ah h#']
G,G 1.wav,['h# dcl d ih h#']
W,W 1.wav,['h# w iy tcl h#']
W,W 2.wav,['h# ow h#']
W,W 4.wav,['h# w uh h#']
W,W 3.wav,['h# ow h#']
T,T 2.wav,['h# t h#']
T,T 3.wav,['h# t ah h#']
T,T 4.wav,['h# t ah pcl h#']
T,T 1.wav,['h# t h#']
I short,I short 3.wav,['h# q ey h#']
I short,I short 1.wav,['h# ey h#']
I short,I short 2.wav,['h# q iy h#']
I short,I short 4.wav,['h# pau q eh h#']
M,M 1.wav,['h# uw h#']
M,M 2.wav,['h# uw h#']
M,M 4.wav,['h# uw h#']
M,M 3.wav,['h# b uw h#']
A short,A short 3.wav,['h# q aa p h#']
A short,A short 4.wav,['h# q aa h#']
A short,A short 2.wav,['h# aa h#']
A short,A short 1.wav,['h# q aa h#']
R,R 1.wav,['h# er h#']
R,R 3.wav,['h# er h#']
R,R 2.wav,['h# q er l h#']
R,R 4.wav,['h# er h#']
E short,E short 1.wav,['h# q ae h#']
E short,E short 2.wav,['h# q eh n h#']
E short,E short 4.wav,['h# q ae v h#']
E short,E short 3.wav,['h# q ey h#']
O short,O short 4.wav,['h# q ao h#']
O short,O short 2.wav,['h# q ao h#']
O short,O short 1.wav,['h# ao h#']
O short,O short 3.wav,['h# q ao h#']
X,X 3.wav,['h# k uh h#']
X,X 1.wav,['h# k uh h#']
X,X 4.wav,['h# k h#']
X,X 2.wav,['h# k h#']
F,F 2.wav,['h# h#']
F,F 4.wav,['h# h#']
F,F 1.wav,['h# h#']
F,F 3.wav,['h# h#']
L,L 2.wav,['h# ow h#']
L,L 4.wav,['h# ow l h#']
L,L 3.wav,['h# h#']
L,L 1.wav,['h# ao h#']
Q,Q 1.wav,['h# k uw h#']
Q,Q 2.wav,['h# k uw h#']
Q,Q 3.wav,['h# k uw l h#']
Q,Q 4.wav,['h# k uw h#']
Y,Y 1.wav,['h# ix dx ih z h#']
Y,Y 4.wav,['h# y iy bcl p h#']
Y,Y 2.wav,['h# iy h#']
Y,Y 3.wav,['h# y iy h#']
S,S 2.wav,['h# h#']
S,S 3.wav,['h# h#']
S,S 4.wav,['h# h#']
S,S 1.wav,['h# h#']
P,P 1.wav,['h# b ih pcl h#']
P,P 3.wav,['h# h# h#']
P,P 4.wav,['h# b ah pcl h#']
P,P 2.wav,['h# p uh tcl h#']
