Folder/Label,File Name,Predicted Phonemes
O long,O long 4.wav,['']
O long,O long 1.wav,['oʊ oʊ']
O long,O long 3.wav,['']
O long,O long 2.wav,['']
J,J 3.wav,['']
J,J 1.wav,['']
J,J 2.wav,['']
J,J 4.wav,['']
U long,U long 3.wav,['oʊ']
U long,U long 2.wav,['k']
U long,U long 1.wav,['z']
U long,U long 4.wav,['']
C,C 3.wav,['']
C,C 2.wav,['']
C,C 4.wav,['']
C,C 1.wav,['']
B,B 2.wav,['']
B,B 3.wav,['']
B,B 4.wav,['']
B,B 1.wav,['']
I long,I long 1.wav,['']
I long,I long 3.wav,['']
I long,I long 4.wav,['']
I long,I long 2.wav,['']
V,V 2.wav,['']
V,V 4.wav,['']
V,V 1.wav,['']
V,V 3.wav,['']
Z,Z 1.wav,['']
Z,Z 2.wav,['']
Z,Z 4.wav,['']
Z,Z 3.wav,['']
A long,A long 1.wav,['']
A long,A long 2.wav,['']
A long,A long 3.wav,['eɪ']
A long,A long 4.wav,['']
U short,U short 3.wav,['']
U short,U short 1.wav,['n']
U short,U short 4.wav,['']
U short,U short 2.wav,['']
H,H 4.wav,['']
H,H 3.wav,['']
H,H 2.wav,['']
H,H 1.wav,['']
N,N 4.wav,['']
N,N 3.wav,['']
N,N 1.wav,['']
N,N 2.wav,['']
E long,E long 2.wav,['']
E long,E long 1.wav,['']
E long,E long 4.wav,['n']
E long,E long 3.wav,['']
K,K 3.wav,['']
K,K 1.wav,['']
K,K 4.wav,['']
K,K 2.wav,['']
D,D 3.wav,['']
D,D 2.wav,['']
D,D 4.wav,['d']
D,D 1.wav,['']
G,G 3.wav,['']
G,G 2.wav,['ɡ ɡ']
G,G 4.wav,['']
G,G 1.wav,['']
W,W 1.wav,['']
W,W 2.wav,['']
W,W 4.wav,['']
W,W 3.wav,['']
T,T 2.wav,['']
T,T 3.wav,['']
T,T 4.wav,['']
T,T 1.wav,['']
I short,I short 3.wav,['']
I short,I short 1.wav,['n']
I short,I short 2.wav,['']
I short,I short 4.wav,['']
M,M 1.wav,['']
M,M 2.wav,['']
M,M 4.wav,['']
M,M 3.wav,['']
A short,A short 3.wav,['']
A short,A short 4.wav,['']
A short,A short 2.wav,['']
A short,A short 1.wav,['']
R,R 1.wav,['']
R,R 3.wav,['']
R,R 2.wav,['']
R,R 4.wav,['']
E short,E short 1.wav,['']
E short,E short 2.wav,['']
E short,E short 4.wav,['']
E short,E short 3.wav,['']
O short,O short 4.wav,['']
O short,O short 2.wav,['']
O short,O short 1.wav,['']
O short,O short 3.wav,['']
X,X 3.wav,['']
X,X 1.wav,['']
X,X 4.wav,['']
X,X 2.wav,['']
F,F 2.wav,['']
F,F 4.wav,['']
F,F 1.wav,['']
F,F 3.wav,['']
L,L 2.wav,['oʊ']
L,L 4.wav,['']
L,L 3.wav,['n']
L,L 1.wav,['ɔ']
Q,Q 1.wav,['k']
Q,Q 2.wav,['k k']
Q,Q 3.wav,['']
Q,Q 4.wav,['k oʊ']
Y,Y 1.wav,['']
Y,Y 4.wav,['']
Y,Y 2.wav,['']
Y,Y 3.wav,['i']
S,S 2.wav,['']
S,S 3.wav,['']
S,S 4.wav,['']
S,S 1.wav,['']
P,P 1.wav,['']
P,P 3.wav,['']
P,P 4.wav,['']
P,P 2.wav,['']
