Folder/Label,File Name,Predicted Phonemes
B,B 1.wav, B B B
B,B 4.wav, P
B,B 2.wav, B
B,B 3.wav, P
Q,Q 1.wav, Cool
Q,Q 2.wav, Cooool
Q,Q 4.wav, That
Q,Q 3.wav, Cool Cool
E long,E long 4.wav, E
E long,E long 2.wav, Eee
E long,E long 1.wav, And
E long,E long 3.wav, Eee
O long,O long 2.wav, Oh
O long,O long 1.wav, Oh
O long,O long 3.wav, Oh
O long,O long 4.wav, Oh
K,K 3.wav, K K K
K,K 2.wav, ク。
K,K 4.wav, Okay
K,K 1.wav, K
U long,U long 3.wav, Mmmmm
U long,U long 2.wav, Hmm
U long,U long 4.wav, Ooooooooh
U long,U long 1.wav, And
U short,U short 3.wav, Uh
U short,U short 4.wav, Uh
U short,U short 1.wav, Uh
U short,U short 2.wav, Uh
V,V 1.wav, Zzzzzz
V,V 2.wav, Oh
V,V 3.wav, Um
V,V 4.wav, V
I short,I short 1.wav, Eh
I short,I short 2.wav, Eh
I short,I short 3.wav, Eh
I short,I short 4.wav, Eh
D,D 4.wav, Duh
D,D 1.wav, D
D,D 2.wav,the
D,D 3.wav, Duh
H,H 4.wav, Huh?
H,H 1.wav, Okay Okay Okay
H,H 3.wav, Huh?
H,H 2.wav, Huh
O short,O short 1.wav, Oh
O short,O short 4.wav, Uh
O short,O short 2.wav, Awww
O short,O short 3.wav, Uh
S,S 1.wav, Ssss
S,S 4.wav, Ssssss
S,S 2.wav, Ssssss
S,S 3.wav, S S
T,T 2.wav, T
T,T 4.wav, T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-
T,T 3.wav, t
T,T 1.wav, Tch Tch
I long,I long 1.wav, I
I long,I long 3.wav, I
I long,I long 2.wav, Uh
I long,I long 4.wav, I
J,J 2.wav, J
J,J 1.wav, G
J,J 4.wav, J
J,J 3.wav, What?
E short,E short 3.wav, Eh
E short,E short 4.wav, Uh
E short,E short 1.wav, Eh
E short,E short 2.wav, Uh
C,C 4.wav, ク
C,C 2.wav, Cook
C,C 3.wav, K K
C,C 1.wav, Q
G,G 2.wav, Q Q Q
G,G 1.wav, G G
G,G 4.wav, G
G,G 3.wav, Guh
Y,Y 3.wav, And
Y,Y 2.wav, And
